Семантические категории 1-ого уровня;Семантические категории 2-ого уровня;Семантические категории 3-его уровня;Оценочное слово или словосочетание;Полярность;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;аккуратная;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;богатый вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;богатый внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;богатый дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;великолепный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;великолепный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;винтажный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;винтажный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;внешний вид в ногу со временем;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;внешний вид выше всяких похвал;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;внушительный внешний вид;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;внушительный дизайн;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;вписалась в интерьер;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;вписалась в кухню;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;вписался в интерьер;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;вписался в кухню;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит великолепно;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит дорого;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит здорово;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогая вещь;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогая кофемашина;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогая кофемашинка;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогая машина;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогая машинка;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогая модель;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогой агрегат;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогой аппарат;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит как дорогой прибор;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит клёво;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит красиво;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит потрясающе;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит приятно;+;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит старовато;-;;;;;;;
объект оценки (кофемашина);внешний вид;внешний вид;выглядит стильно;+;;;;;;;
